"codice","data","specie","regione","provincia","comune","sesso","lunghezza (cm)","tag_rilievo","tag_rilascio","condizioni","interazione","segnalatore","rilevatore","struttura","latitudine","longitudine"
"CSC080306CSc2","06/03/2008","Stenella coeruleoalba","Lazio","Roma","","M","108","","","Morto","ND","Guardia Costiera","Non disponibile","Guardia Costiera","41.55056","12.51667"
"CSC071215CTt1","15/12/2007","Tursiops truncatus","Marche","Ascoli Piceno","","ND","270","","","Morto","ND","Guardia Costiera","M. Marconi","Guardia Costiera","43.18634","13.79736"
"CSC071112CSc1","12/11/2007","Stenella coeruleoalba","Lazio","Roma","","M","95","","","Morto","ND","Guardia Costiera","Non disponibile","Guardia Costiera","41.60582","12.47807"
"CSC070828CSc1","28/08/2007","Stenella coeruleoalba","Campania","Salerno","","ND","160","","","Morto","ND","Guardia Costiera","Non disponibile","Guardia Costiera","40.06713","15.56667"
"CSC070828CTt1","28/08/2007","Tursiops truncatus","Campania","Napoli","","M","140","","","Morto","ND","Privato cittadino","Non disponibile","Guardia Costiera","40.80012","14.15"
"CSC070724CBp1","24/07/2007","Balaenoptera physalus","Campania","Salerno","","F","1300","","","Morto","ND","Guardia Costiera","Non disponibile","Guardia Costiera","40.03362","15.25"
"CSC070715CBp1","15/07/2007","Balaenoptera physalus","Campania","Napoli","","ND","1300","","","Morto","ND","Privato cittadino","Non disponibile","Guardia Costiera","40.56072","14.23642"
"CSC070715CTt1","15/07/2007","Tursiops truncatus","Veneto","Rovigo","","ND","","","","Morto","ND","Privato cittadino","Non disponibile","Non disponibile","44.95047","12.53333"
"CSC070701CBp1","01/07/2007","Balaenoptera physalus","Campania","Salerno","","F","1350","","","Morto","ND","Privato cittadino","Non disponibile","Guardia Costiera","40.6006","14.56667"
"CSC070701CSc1","01/07/2007","Stenella coeruleoalba","Abruzzo","Teramo","","F","150","","","Morto","No","Guardia Costiera","Vincenzo Olivieri","Centro Studi Cetacei","42.67075","14.02328"
"CSC130602CTt1","02/06/2007","Tursiops truncatus","Abruzzo","Teramo","","F","180","","","Morto","No","Guardia Costiera","Giuseppe Capozzella","ASL","42.55256","14.12022"
"CSC070410CBa1","10/04/2007","Balaenoptera acutorostrata","Abruzzo","Teramo","","ND","55","","","Morto","No","Guardia Costiera","Non disponibile","Guardia Costiera","42.57012","14.10297"
"CSC070404CSc1","04/04/2007","Stenella coeruleoalba","Campania","Salerno","","M","150","","","Morto","ND","Privato cittadino","Non disponibile","Guardia Costiera","40.07236","15.60848"
"CSC070315CSc1","15/03/2007","Stenella coeruleoalba","Campania","Salerno","","ND","150","","","Morto","ND","Privato cittadino","Non disponibile","Guardia Costiera","40.03373","15.48333"
"CSC070306CSc1","06/03/2007","Stenella coeruleoalba","Lazio","Roma","","M","110","","","Morto","ND","Privato cittadino","Valerio Manfrini","Centro Studi Cetacei","41.45425","12.64702"
"CSC070303CND1","03/03/2007","Indeterminato","Campania","Salerno","","ND","108","","","Morto","ND","Guardia Costiera","Non disponibile","Guardia Costiera","40.66041","14.79698"
"CSC070228CSc1","28/02/2007","Stenella coeruleoalba","Campania","Napoli","","M","150","","","Morto","ND","Guardia Costiera","Non disponibile","Guardia Costiera","40.78336","14.35"
"CSC070226CSc1","26/02/2007","Stenella coeruleoalba","Campania","Napoli","","F","201","","","Morto","ND","Privato cittadino","Non disponibile","Guardia Costiera","40.73462","13.95663"
"CSC070213CSc1","13/02/2007","Stenella coeruleoalba","Campania","Napoli","","F","166","","","Morto","ND","Guardia Costiera","Non disponibile","Guardia Costiera","40.71867","13.86133"
"CSC070110CSc1","10/01/2007","Stenella coeruleoalba","Campania","Napoli","","F","126","","","Morto","ND","Privato cittadino","Non disponibile","Guardia Costiera","40.75341","13.88778"
"CSC061113CTt1","13/11/2006","Tursiops truncatus","Veneto","Rovigo","","ND","","","","Morto","ND","Privato cittadino","Non disponibile","Non disponibile","44.95219","12.32146"
"CSC061011CZc1","11/10/2006","Ziphius cavirostris","Sicilia","Messina","","ND","","","","Morto","ND","Privato cittadino","Non disponibile","Guardia Costiera","38.12644","15.52079"
"CSC060927CSc1","27/09/2006","Stenella coeruleoalba","Campania","Salerno","","M","170","","","Morto","ND","Guardia Costiera","Non disponibile","Guardia Costiera","40.03855","15.48349"
"CSC060826CSc1","26/08/2006","Stenella coeruleoalba","Campania","Salerno","","ND","170","","","Morto","ND","Guardia Costiera","Non disponibile","Guardia Costiera","40.50277","14.93039"
"CSC060824CND1","24/08/2006","Indeterminato","Campania","Caserta","","ND","180","","","Morto","ND","Guardia Costiera","Non disponibile","Guardia Costiera","41.10856","13.88015"
"CSC060804CSc1","04/08/2006","Stenella coeruleoalba","Sicilia","Catania","","F","","","","Morto","ND","Privato cittadino","Non disponibile","Guardia Costiera","37.55082","15.1473"
"CSC060803CTt1","03/08/2006","Tursiops truncatus","Abruzzo","Pescara","","F","280","","","Morto","No","Guardia Costiera","William Di Nardo","Centro Studi Cetacei","42.47485","14.21142"
