"codice","data","specie","regione","provincia","comune","sesso","lunghezza (cm)","tag_rilievo","tag_rilascio","condizioni","interazione","segnalatore","rilevatore","struttura","latitudine","longitudine"
"CSC131102TCc2","02/11/2013","Caretta caretta","Calabria","Cosenza","","F","55","","","Vivo","ND","Centro Studi Cetacei","Stefania Giglio","Centro Studi Cetacei","39.1022","16.07285"
"CSC131102TCc1","02/11/2013","Caretta caretta","Emilia Romagna","Ferrara","","ND","55","","","Morto","ND","Privato cittadino","Carola Vallini","Associazione","44.69879","12.24012"
"CSC131101TCc1","01/11/2013","Caretta caretta","Emilia Romagna","Ravenna","","ND","52","","","Morto","ND","Guardia Costiera","anonimo","Guardia Costiera","44.52158","12.28392"
"CSC131030TCc1","30/10/2013","Caretta caretta","Sicilia","Trapani","","ND","80","","","Morto","ND","Privato cittadino","Caracappa Santo","Istituto Zooprofilattico","37.58064","12.77801"
"CSC131025TCc1","25/10/2013","Caretta caretta","Calabria","Catanzaro","","ND","36","","","Morto","ND","Guardia Costiera","Elena Madeo","Centro Studi Cetacei","38.74651","16.55868"
"CSC131025TCc2","25/10/2013","Caretta caretta","Abruzzo","Teramo","","ND","45","","","Morto","ND","Guardia Costiera","Alfredo Di Domenicantonio","ASL","42.81111","13.9416"
"CSC131023TCc1","23/10/2013","Caretta caretta","Abruzzo","Pescara","","ND","51","","CSCIT002","Vivo","ND","Motopeschereccio","Vincenzo Olivieri","Centro Studi Cetacei","42.69906","14.65626"
"CSC131017TCc1","17/10/2013","Caretta caretta","Abruzzo","Teramo","","ND","60","","","Morto","ND","Guardia Costiera","Vincenzo Perretti","ASL","42.55112","14.12197"
"CSC131013TCc1","13/10/2013","Caretta caretta","Calabria","Catanzaro","","ND","32","","","Vivo","ND","Guardia Costiera","Stefania Giglio","Centro Studi Cetacei","38.55558","16.61501"
"CSC131011TDc1","11/10/2013","Dermochelys coriacea","Calabria","Catanzaro","","F","173","","","Morto","ND","Guardia Costiera","Stefania Giglio","Centro Studi Cetacei","38.90918","16.20001"
"CSC131010TCc1","10/10/2013","Caretta caretta","Abruzzo","Chieti","","ND","57","","","Morto","ND","Guardia Costiera","William Di Nardo","ASL","42.38305","14.36527"
"CSC131009TCc1","09/10/2013","Caretta caretta","Marche","Ancona","","ND","","","","Morto","ND","Privato cittadino","Antonio Previderio","Guardia Costiera","43.62629","13.40781"
