codice,data_rilievo,regione,provincia,comune,specie,cod_specie,sesso,lunghezza_cm,tipo_lunghezza,condizioni,tag,tag_rilascio,interazione,segnalato_da,rilevatore,struttura_rilevatore,lng,lat
CSC051029TCc1,2005-10-29,Campania,Salerno,,Caretta caretta,1,ND,60.0,TOT,Vivo,,,ND,Guardia Costiera,Ernesto Maffia,Guardia Costiera,14.75531,40.61512
CSC051023TCc1,2005-10-23,Puglia,Taranto,,Caretta caretta,1,ND,,,Morto,FB177NA200CSTATIGN,,ND,Guardia Costiera,Saverio Fella,ASL,17.67353,40.30489
CSC051008TND1,2005-10-08,Emilia Romagna,Ravenna,,Indeterminato,5,ND,100.0,TOT,Morto,,,ND,Guardia Costiera,Simona Caserta,Guardia Costiera,12.36238,44.25962
CSC051004TCc1,2005-10-04,Emilia Romagna,Ferrara,,Caretta caretta,1,ND,50.0,TOT,Morto,,,ND,Guardia Costiera,Angelo Negro,Guardia Costiera,12.24261,44.68233
CSC051003TCc1,2005-10-03,Abruzzo,Teramo,,Caretta caretta,1,ND,39.0,TOT,Morto,,,ND,Guardia Costiera,Vincenzo Perretti,ASL,14.13081,42.54289
CSC051003TCc2,2005-10-03,Abruzzo,Teramo,,Caretta caretta,1,ND,,,Morto,,,ND,Guardia Costiera,Vincenzo Perretti,ASL,14.13626,42.53869
CSC050926TCc1,2005-09-26,Sardegna,Nuoro,,Caretta caretta,1,ND,70.0,TOT,Vivo,,,ND,Privato cittadino,Non disponibile,Non disponibile,9.71377,39.9236
CSC050925TCc1,2005-09-25,Marche,Ascoli Piceno,,Caretta caretta,1,ND,30.0,TOT,Vivo,,,ND,Guardia Costiera,xxx,Guardia Costiera,13.80622,43.16851
CSC050924TND1,2005-09-24,Emilia Romagna,Ravenna,,Indeterminato,5,ND,60.0,TOT,Morto,,,ND,Guardia Costiera,Francesco Turturro,Guardia Costiera,12.30518,44.42387
CSC050921TCc1,2005-09-21,Marche,Ascoli Piceno,,Caretta caretta,1,ND,60.0,TOT,Vivo,,,ND,Privato cittadino,M.P. Wind,Non disponibile,13.88074,42.96584
CSC050918TDc1,2005-09-18,Toscana,Livorno,,Dermochelys coriacea,3,ND,185.0,TOT,Morto,,,ND,Guardia Costiera,Vigili Urbani S.Vincenzo,Non disponibile,10.53514,43.07354
CSC050903TCc1,2005-09-03,Emilia Romagna,Ravenna,,Caretta caretta,1,ND,80.0,TOT,Morto,,,ND,Guardia Costiera,Guarini,Guardia Costiera,12.28589,44.48334
CSC050830TCc1,2005-08-30,Sardegna,Cagliari,,Caretta caretta,1,ND,55.0,TOT,Vivo,,,ND,Guardia Costiera,Davide Serra,Guardia Costiera,9.70428,39.83803
CSC050827TCc1,2005-08-27,Puglia,Taranto,,Caretta caretta,1,M,,,Morto,,,ND,Guardia Costiera,Sebastiano Tinelli,ASL,17.03463,40.50967
CSC050825TCc1,2005-08-25,Abruzzo,Chieti,,Caretta caretta,1,F,94.0,TOT,Vivo,,CSC1111,ND,Guardia Costiera,Vincenzo Olivieri,Centro Studi Cetacei,14.61699,42.38617
CSC050821TCm1,2005-08-21,Puglia,Taranto,,Chelonia mydas,2,ND,,,Morto,,,ND,Guardia Costiera,Nunzio Giannico,ASL,17.21832,40.40918
CSC050815TCc1,2005-08-15,Puglia,Taranto,,Caretta caretta,1,ND,,,Morto,,,ND,Guardia Costiera,Franco Ettorre,ASL,17.36476,40.34975
CSC050810TCc1,2005-08-10,Abruzzo,Teramo,,Caretta caretta,1,ND,25.0,TOT,Morto,,,ND,Guardia Costiera,Vincenzo Perretti,Centro Studi Cetacei,14.12796,42.5457
CSC050802TCc1,2005-08-02,Abruzzo,Chieti,,Caretta caretta,1,ND,81.0,TOT,Vivo,ANONIMA3232CSC1112,,ND,Guardia Costiera,Vincenzo Olivieri,Centro Studi Cetacei,14.72406,42.09808
CSC050730TCc1,2005-07-30,Puglia,Taranto,,Caretta caretta,1,ND,,,Morto,,,ND,Guardia Costiera,Nunzio Giannico,ASL,17.21616,40.45681
CSC050727TCc1,2005-07-27,Puglia,Taranto,,Caretta caretta,1,ND,,,Morto,,,ND,Guardia Costiera,Nunzio Giannico,ASL,17.25093,40.44676
CSC050718TCc1,2005-07-18,Emilia Romagna,Ravenna,,Caretta caretta,1,ND,,,Morto,,,ND,Guardia Costiera,Giuseppe Semerano,Guardia Costiera,12.31564,44.40383
CSC050713TCc1,2005-07-13,Friuli,Gorizia,,Caretta caretta,1,ND,66.0,TOT,Morto,,,ND,Privato cittadino,Non disponibile,Guardia Costiera,13.53514,45.77894
CSC050710TCc1,2005-07-10,Emilia Romagna,Ravenna,,Caretta caretta,1,F,90.0,TOT,Morto,,,ND,Guardia Costiera,Non disponibile,Guardia Costiera,12.32447,44.36319
CSC050709TCc1,2005-07-09,Emilia Romagna,Ravenna,,Caretta caretta,1,F,100.0,TOT,Morto,,,ND,Guardia Costiera,Non disponibile,Guardia Costiera,12.2857,44.48074
CSC050708TCc1,2005-07-08,Emilia Romagna,Ferrara,,Caretta caretta,1,ND,66.0,TOT,Vivo,,,ND,Guardia Costiera,Non disponibile,Non disponibile,12.34606,44.69328
