codice,data_rilievo,regione,provincia,comune,specie,cod_specie,sesso,lunghezza_cm,tipo_lunghezza,condizioni,tag,tag_rilascio,interazione,segnalato_da,rilevatore,struttura_rilevatore,lng,lat
CSC131204CTt1,2013-12-04,Calabria,Catanzaro,,Tursiops truncatus,9,M,201.0,TOT,Morto,,,ND,Guardia Costiera,Stefania Giglio,Centro Studi Cetacei,16.57821,38.77995
CSC131008CTt1,2013-10-08,Abruzzo,Teramo,,Tursiops truncatus,9,F,250.0,TOT,Morto,,,No,Guardia Costiera,Alfredo Di Domenicantonio,Centro Studi Cetacei,13.92607,42.86518
CSC131003CTt1,2013-10-03,Abruzzo,Chieti,,Tursiops truncatus,9,F,273.0,TOT,Morto,,,No,Guardia Costiera,Giuseppe Torzi,ASL,14.77416,42.07209
CSC130924CSc1,2013-09-24,Lazio,Roma,,Stenella coeruleoalba,8,M,215.0,TOT,Morto,,,ND,Carabinieri,Valerio Manfrini,Centro Studi Cetacei,12.47283,41.61033
CSC130814CGg1,2013-08-14,Calabria,Cosenza,,Grampus griseus,4,ND,150.0,TOT,Vivo,,,ND,Guardia Costiera,Andrea Paiser,Centro Studi Cetacei,15.92074,39.52805
CSC130813CSc1,2013-08-13,Calabria,Crotone,,Stenella coeruleoalba,8,F,210.0,TOT,Morto,,,ND,Guardia Costiera,Elena Madeo,Centro Studi Cetacei,17.13715,39.37131
CSC130811CPm1,2013-08-11,Calabria,Reggio di Calabria,,Physeter macrocephalus,7,F,850.0,TOT,Morto,,,ND,Guardia Costiera,Stefania Giglio,Centro Studi Cetacei,16.46389,38.33889
CSC130723CSc1,2013-07-23,Calabria,Reggio di Calabria,,Stenella coeruleoalba,8,M,91.0,TOT,Morto,,,ND,Guardia Costiera,Elena Madeo,Centro Studi Cetacei,16.10668,37.96791
CSC130716CTt1,2013-07-16,Abruzzo,Pescara,,Tursiops truncatus,9,F,278.0,TOT,Morto,,,No,Guardia Costiera,Vincenzo Olivieri,Centro Studi Cetacei,14.20582,42.49259
CSC130712CBp1,2013-07-12,Lazio,Roma,,Balaenoptera physalus,2,ND,,,Morto,,,ND,Guardia Costiera,Valerio Manfrini,Centro Studi Cetacei,11.77391,42.09816
